  f = x^3+(1)x+(1)   S = [3, 5, 7]   m <= 20000, cap 1500 twists per tuple
    tuple 0 (1, 1, 1) P=1 g=2  tried 63 with 2+ points 2 factorwise 2   WITNESS d = 781
    tuple 1 (1, 1, u) P=1 g=2  tried 1 with 2+ points 1 factorwise 1   WITNESS d = -11
    tuple 2 (1, 1, 7) P=7 g=2  tried 16 with 2+ points 1 factorwise 1   WITNESS d = -1169
    tuple 3 (1, 1, u*7) P=7 g=2  tried 39 with 2+ points 2 factorwise 2   WITNESS d = 3451
    tuple 4 (1, u, 1) P=1 g=2  tried 285 with 2+ points 3 factorwise 1   WITNESS d = 3343
    tuple 5 (1, u, u) P=1 g=2  tried 20 with 2+ points 1 factorwise 1   WITNESS d = 223
    tuple 6 (1, u, 7) P=7 g=2  tried 21 with 2+ points 1 factorwise 1   WITNESS d = -1883
    tuple 7 (1, u, u*7) P=7 g=2  tried 22 with 2+ points 2 factorwise 2   WITNESS d = 1687
    tuple 8 (1, 5, 1) P=5 g=2  tried 53 with 2+ points 2 factorwise 2   WITNESS d = 3355
    tuple 9 (1, 5, u) P=5 g=1  tried 1 with 1+ points 1 factorwise 1   WITNESS d = 55
    tuple 10 (1, 5, 7) P=35 g=1  tried 9 with 1+ points 3 factorwise 1   WITNESS d = -2345
    tuple 11 (1, 5, u*7) P=35 g=1  tried 61 with 1+ points 5 factorwise 1   WITNESS d = 25795
    tuple 12 (1, u*5, 1) P=5 g=2  tried 3 with 2+ points 1 factorwise 1   WITNESS d = -185
    tuple 13 (1, u*5, u) P=5 g=1  tried 5 with 1+ points 2 factorwise 1   WITNESS d = -365
    tuple 14 (1, u*5, 7) P=35 g=1  tried 16 with 1+ points 4 factorwise 1   WITNESS d = 7315
    tuple 15 (1, u*5, u*7) P=35 g=1  tried 4 with 1+ points 2 factorwise 1   WITNESS d = -1085
    tuple 16 (u, 1, 1) P=1 g=2  tried 40 with 2+ points 5 factorwise 4   WITNESS d = -451
    tuple 17 (u, 1, u) P=1 g=2  tried 11 with 2+ points 1 factorwise 1   WITNESS d = 131
    tuple 18 (u, 1, 7) P=7 g=2  tried 5 with 2+ points 1 factorwise 1   WITNESS d = -511
    tuple 19 (u, 1, u*7) P=7 g=2  tried 10 with 2+ points 1 factorwise 1   WITNESS d = 581
    tuple 20 (u, u, 1) P=1 g=2  tried 4 with 2+ points 1 factorwise 1   WITNESS d = 53
    tuple 21 (u, u, u) P=1 g=2  tried 12 with 2+ points 1 factorwise 1   WITNESS d = -127
    tuple 22 (u, u, 7) P=7 g=2  tried 191 with 2+ points 4 factorwise 2   WITNESS d = 15743
    tuple 23 (u, u, u*7) P=7 g=2  tried 91 with 2+ points 2 factorwise 2   WITNESS d = 7973
    tuple 24 (u, 5, 1) P=5 g=2  tried 29 with 2+ points 1 factorwise 1   WITNESS d = 1730
    tuple 25 (u, 5, u) P=5 g=1  tried 1 with 1+ points 1 factorwise 1   WITNESS d = 5
    tuple 26 (u, 5, 7) P=35 g=1  tried 17 with 1+ points 4 factorwise 1   WITNESS d = -6895
    tuple 27 (u, 5, u*7) P=35 g=1  tried 2 with 1+ points 1 factorwise 1   WITNESS d = 770
    tuple 28 (u, u*5, 1) P=5 g=2  tried 17 with 2+ points 1 factorwise 1   WITNESS d = -985
    tuple 29 (u, u*5, u) P=5 g=1  tried 7 with 1+ points 4 factorwise 1   WITNESS d = 290
    tuple 30 (u, u*5, 7) P=35 g=1  tried 2 with 1+ points 1 factorwise 1   WITNESS d = 665
    tuple 31 (u, u*5, u*7) P=35 g=1  tried 11 with 1+ points 2 factorwise 1   WITNESS d = -4585
    tuple 32 (3, 1, 1) P=3 g=2  tried 23 with 2+ points 1 factorwise 1   WITNESS d = -789
    tuple 33 (3, 1, u) P=3 g=2  tried 17 with 2+ points 2 factorwise 1   WITNESS d = -519
    tuple 34 (3, 1, 7) P=21 g=2  tried 14 with 2+ points 2 factorwise 1   WITNESS d = 3486
    tuple 35 (3, 1, u*7) P=21 g=2  tried 6 with 2+ points 1 factorwise 1   WITNESS d = 1659
    tuple 36 (3, u, 1) P=3 g=2  tried 450 with 2+ points 4 factorwise 4   WITNESS d = 16158
    tuple 37 (3, u, u) P=3 g=2  tried 26 with 2+ points 2 factorwise 1   WITNESS d = 957
